participant,prime_group,mus_class,chan,beat_pos,mmr_amp,mus_parent
6,2,0,FL,4,0.789628112,0
6,2,0,FL,5,2.05209139,0
6,2,0,FZ,4,-0.655110511,0
6,2,0,FZ,5,3.040195196,0
6,2,0,FR,4,-0.918300938,0
6,2,0,FR,5,1.67836918,0
8,2,0,FL,4,3.483332055,1
8,2,0,FL,5,-0.061090021,1
8,2,0,FZ,4,2.82352599,1
8,2,0,FZ,5,0.166968574,1
8,2,0,FR,4,2.909136526,1
8,2,0,FR,5,1.354177992,1
14,2,0,FL,4,1.566319753,0
14,2,0,FL,5,2.170651899,0
14,2,0,FZ,4,4.523124432,0
14,2,0,FZ,5,1.411115771,0
14,2,0,FR,4,2.329263715,0
14,2,0,FR,5,3.284959504,0
16,2,0,FL,4,-2.192705523,0
16,2,0,FL,5,3.173859601,0
16,2,0,FZ,4,-5.743928202,0
16,2,0,FZ,5,1.305094339,0
16,2,0,FR,4,-3.043341969,0
16,2,0,FR,5,2.912258878,0
18,2,0,FL,4,0.375845997,0
18,2,0,FL,5,0.839884046,0
18,2,0,FZ,4,-3.059154766,0
18,2,0,FZ,5,-0.206618942,0
18,2,0,FR,4,1.167471392,0
18,2,0,FR,5,1.385838516,0
20,2,1,FL,4,2.717385784,0
20,2,1,FL,5,0.365011797,0
20,2,1,FZ,4,1.21808342,0
20,2,1,FZ,5,0.086846595,0
20,2,1,FR,4,1.665783114,0
20,2,1,FR,5,0.697863959,0
22,2,1,FL,4,1.0705739,1
22,2,1,FL,5,1.877212379,1
22,2,1,FZ,4,0.147417287,1
22,2,1,FZ,5,1.346101082,1
22,2,1,FR,4,3.414917116,1
22,2,1,FR,5,-0.955059821,1
24,2,0,FL,4,3.42845922,0
24,2,0,FL,5,4.192092882,0
24,2,0,FZ,4,5.427267429,0
24,2,0,FZ,5,3.144174001,0
24,2,0,FR,4,5.449735706,0
24,2,0,FR,5,4.739268865,0
26,2,0,FL,4,0.808614471,0
26,2,0,FL,5,3.451866975,0
26,2,0,FZ,4,1.726642756,0
26,2,0,FZ,5,4.324246033,0
26,2,0,FR,4,3.826447302,0
26,2,0,FR,5,4.824797879,0
28,2,0,FL,4,2.414034454,0
28,2,0,FL,5,1.823896595,0
28,2,0,FZ,4,0.259289449,0
28,2,0,FZ,5,1.279100422,0
28,2,0,FR,4,0.335014808,0
28,2,0,FR,5,1.740485061,0
30,2,0,FL,4,6.891252816,1
30,2,0,FL,5,-0.516677372,1
30,2,0,FZ,4,4.641948999,1
30,2,0,FZ,5,-1.403551567,1
30,2,0,FR,4,1.476104156,1
30,2,0,FR,5,0.708624786,1
32,2,1,FL,4,2.080476055,1
32,2,1,FL,5,5.211781,1
32,2,1,FZ,4,3.464513258,1
32,2,1,FZ,5,4.159337738,1
32,2,1,FR,4,3.662528945,1
32,2,1,FR,5,5.655217779,1
34,2,1,FL,4,3.775948307,0
34,2,1,FL,5,0.928400718,0
34,2,1,FZ,4,3.211626945,0
34,2,1,FZ,5,0.040685806,0
34,2,1,FR,4,2.744271983,0
34,2,1,FR,5,2.148268824,0
36,2,0,FL,4,0.937225989,0
36,2,0,FL,5,0.438509534,0
36,2,0,FZ,4,0.930384798,0
36,2,0,FZ,5,0.379054701,0
36,2,0,FR,4,1.916080741,0
36,2,0,FR,5,0.550741952,0
38,2,1,FL,4,-2.921798219,0
38,2,1,FL,5,-1.836333535,0
38,2,1,FZ,4,-0.18588038,0
38,2,1,FZ,5,1.336692095,0
38,2,1,FR,4,3.13814242,0
38,2,1,FR,5,2.141882597,0
40,2,1,FL,4,0.189782958,1
40,2,1,FL,5,1.404932412,1
40,2,1,FZ,4,-0.125305206,1
40,2,1,FZ,5,0.611920316,1
40,2,1,FR,4,-0.039557177,1
40,2,1,FR,5,0.274569591,1
42,2,0,FL,4,4.880577462,0
42,2,0,FL,5,3.224059166,0
42,2,0,FZ,4,6.000420291,0
42,2,0,FZ,5,2.118280017,0
42,2,0,FR,4,4.832397065,0
42,2,0,FR,5,1.863783492,0
44,2,1,FL,4,2.435413587,0
44,2,1,FL,5,4.387407449,0
44,2,1,FZ,4,3.577393288,0
44,2,1,FZ,5,1.704151885,0
44,2,1,FR,4,2.665885139,0
44,2,1,FR,5,1.622739065,0
46,2,0,FL,4,0.608568169,0
46,2,0,FL,5,0.388003167,0
46,2,0,FZ,4,-0.391593894,0
46,2,0,FZ,5,1.059584699,0
46,2,0,FR,4,-1.784493327,0
46,2,0,FR,5,0.084674191,0
1,3,1,FL,4,1.071433911,0
1,3,1,FL,5,7.81117485,0
1,3,1,FZ,4,-0.080299391,0
1,3,1,FZ,5,5.71296704,0
1,3,1,FR,4,0.311317925,0
1,3,1,FR,5,2.702955398,0
3,3,0,FL,4,3.025369583,1
3,3,0,FL,5,3.573028391,1
3,3,0,FZ,4,2.808551249,1
3,3,0,FZ,5,3.144454043,1
3,3,0,FR,4,0.671113808,1
3,3,0,FR,5,3.190461486,1
5,3,0,FL,4,0.770120216,0
5,3,0,FL,5,1.652444804,0
5,3,0,FZ,4,2.308017263,0
5,3,0,FZ,5,1.32604701,0
5,3,0,FR,4,1.559544618,0
5,3,0,FR,5,1.789560604,0
7,3,0,FL,4,4.759714312,1
7,3,0,FL,5,3.54925576,1
7,3,0,FZ,4,2.77988856,1
7,3,0,FZ,5,2.374915264,1
7,3,0,FR,4,2.893823944,1
7,3,0,FR,5,3.041955674,1
9,3,0,FL,4,2.657602978,0
9,3,0,FL,5,0.331180317,0
9,3,0,FZ,4,2.127139269,0
9,3,0,FZ,5,0.46461448,0
9,3,0,FR,4,2.243076063,0
9,3,0,FR,5,0.947879198,0
11,3,1,FL,4,-0.138844276,0
11,3,1,FL,5,1.415617198,0
11,3,1,FZ,4,0.3884925,0
11,3,1,FZ,5,0.639958029,0
11,3,1,FR,4,0.999941136,0
11,3,1,FR,5,0.693935161,0
13,3,0,FL,4,0.065543251,0
13,3,0,FL,5,-3.561150325,0
13,3,0,FZ,4,-0.899547525,0
13,3,0,FZ,5,-2.300421608,0
13,3,0,FR,4,-0.909974051,0
13,3,0,FR,5,0.369671912,0
15,3,0,FL,4,2.341705582,0
15,3,0,FL,5,3.516118014,0
15,3,0,FZ,4,2.208292294,0
15,3,0,FZ,5,3.585233668,0
15,3,0,FR,4,2.916776721,0
15,3,0,FR,5,4.290618076,0
17,3,0,FL,4,1.892179128,0
17,3,0,FL,5,0.763464448,0
17,3,0,FZ,4,-0.532616609,0
17,3,0,FZ,5,0.118601444,0
17,3,0,FR,4,0.618042344,0
17,3,0,FR,5,0.556860494,0
21,3,1,FL,4,-0.00372274,1
21,3,1,FL,5,0.353677312,1
21,3,1,FZ,4,-0.083883381,1
21,3,1,FZ,5,0.329724745,1
21,3,1,FR,4,0.412737483,1
21,3,1,FR,5,0.973349661,1
23,3,1,FL,4,-3.562477648,0
23,3,1,FL,5,2.988208062,0
23,3,1,FZ,4,0.058457568,0
23,3,1,FZ,5,3.205939572,0
23,3,1,FR,4,2.130032169,0
23,3,1,FR,5,4.318379839,0
25,3,0,FL,4,2.802782055,1
25,3,0,FL,5,0.237399737,1
25,3,0,FZ,4,1.176218574,1
25,3,0,FZ,5,-0.616537169,1
25,3,0,FR,4,0.070214028,1
25,3,0,FR,5,0.23276523,1
27,3,1,FL,4,2.608234915,0
27,3,1,FL,5,1.129535005,0
27,3,1,FZ,4,1.195135339,0
27,3,1,FZ,5,-0.477922765,0
27,3,1,FR,4,1.558731196,0
27,3,1,FR,5,0.570113063,0
29,3,0,FL,4,1.722212287,0
29,3,0,FL,5,-0.00544031,0
29,3,0,FZ,4,-2.319477759,0
29,3,0,FZ,5,-0.175537775,0
29,3,0,FR,4,-2.885476978,0
29,3,0,FR,5,-0.060769702,0
37,3,1,FL,4,1.456037707,1
37,3,1,FL,5,3.139895977,1
37,3,1,FZ,4,1.498960029,1
37,3,1,FZ,5,3.869555489,1
37,3,1,FR,4,0.353064267,1
37,3,1,FR,5,3.530207719,1
39,3,0,FL,4,1.110891706,0
39,3,0,FL,5,3.919431949,0
39,3,0,FZ,4,0.225074269,0
39,3,0,FZ,5,2.442046111,0
39,3,0,FR,4,0.358687218,0
39,3,0,FR,5,2.109206733,0
41,3,1,FL,4,4.063588065,0
41,3,1,FL,5,5.710165825,0
41,3,1,FZ,4,4.415701416,0
41,3,1,FZ,5,3.269705198,0
41,3,1,FR,4,4.837623466,0
41,3,1,FR,5,4.979640352,0
45,3,1,FL,4,-4.346950195,1
45,3,1,FL,5,3.56646125,1
45,3,1,FZ,4,-7.143270525,1
45,3,1,FZ,5,2.816571079,1
45,3,1,FR,4,-0.802622566,1
45,3,1,FR,5,-1.294767509,1
47,3,0,FL,4,4.575552921,0
47,3,0,FL,5,-0.451489941,0
47,3,0,FZ,4,2.994725735,0
47,3,0,FZ,5,-0.04813425,0
47,3,0,FR,4,2.454523565,0
47,3,0,FR,5,0.348102623,0
